Office,Dingwall
Station Name,Allnabad
Location Code,234151
Parameter,River Stage(SG)
Timeseries,SG.15m.Cmd
Data to be used in accordance with the SEPA General Data Reuse Statement, http://apps.sepa.org.uk/riverlevels/data/frequently-asked-questions.aspx
Date/Time,SG(m)
22/05/2016 12:15:00,0.492
22/05/2016 12:30:00,0.491
22/05/2016 12:45:00,0.49
22/05/2016 13:00:00,0.488
22/05/2016 13:15:00,0.487
22/05/2016 13:30:00,0.486
22/05/2016 13:45:00,0.486
22/05/2016 14:00:00,0.485
22/05/2016 14:15:00,0.49
22/05/2016 14:30:00,0.492
22/05/2016 14:45:00,0.496
22/05/2016 15:00:00,0.498
22/05/2016 15:15:00,0.499
22/05/2016 15:30:00,0.499
22/05/2016 15:45:00,0.499
22/05/2016 16:00:00,0.499
22/05/2016 16:15:00,0.5
22/05/2016 16:30:00,0.503
22/05/2016 16:45:00,0.505
22/05/2016 17:00:00,0.507
22/05/2016 17:15:00,0.511
22/05/2016 17:30:00,0.516
22/05/2016 17:45:00,0.522
22/05/2016 18:00:00,0.528
22/05/2016 18:15:00,0.536
22/05/2016 18:30:00,0.547
22/05/2016 18:45:00,0.563
22/05/2016 19:00:00,0.584
22/05/2016 19:15:00,0.607
22/05/2016 19:30:00,0.628
22/05/2016 19:45:00,0.645
22/05/2016 20:00:00,0.654
22/05/2016 20:15:00,0.661
22/05/2016 20:30:00,0.665
22/05/2016 20:45:00,0.665
22/05/2016 21:00:00,0.664
22/05/2016 21:15:00,0.663
22/05/2016 21:30:00,0.662
22/05/2016 21:45:00,0.658
22/05/2016 22:00:00,0.656
22/05/2016 22:15:00,0.653
22/05/2016 22:30:00,0.65
22/05/2016 22:45:00,0.646
22/05/2016 23:00:00,0.641
22/05/2016 23:15:00,0.636
22/05/2016 23:30:00,0.632
22/05/2016 23:45:00,0.627
23/05/2016 00:00:00,0.623
23/05/2016 00:15:00,0.618
23/05/2016 00:30:00,0.615
23/05/2016 00:45:00,0.611
23/05/2016 01:00:00,0.608
23/05/2016 01:15:00,0.604
23/05/2016 01:30:00,0.6
23/05/2016 01:45:00,0.596
23/05/2016 02:00:00,0.592
23/05/2016 02:15:00,0.588
23/05/2016 02:30:00,0.584
23/05/2016 02:45:00,0.58
23/05/2016 03:00:00,0.576
23/05/2016 03:15:00,0.571
23/05/2016 03:30:00,0.568
23/05/2016 03:45:00,0.564
23/05/2016 04:00:00,0.56
23/05/2016 04:15:00,0.557
23/05/2016 04:30:00,0.554
23/05/2016 04:45:00,0.55
23/05/2016 05:00:00,0.547
23/05/2016 05:15:00,0.543
23/05/2016 05:30:00,0.541
23/05/2016 05:45:00,0.538
23/05/2016 06:00:00,0.535
23/05/2016 06:15:00,0.531
23/05/2016 06:30:00,0.529
23/05/2016 06:45:00,0.526
23/05/2016 07:00:00,0.523
23/05/2016 07:15:00,0.521
23/05/2016 07:30:00,0.519
23/05/2016 07:45:00,0.516
23/05/2016 08:00:00,0.514
23/05/2016 08:15:00,0.512
23/05/2016 08:30:00,0.509
23/05/2016 08:45:00,0.507
23/05/2016 09:00:00,0.505
23/05/2016 09:15:00,0.502
23/05/2016 09:30:00,0.501
23/05/2016 09:45:00,0.499
23/05/2016 10:00:00,0.497
23/05/2016 10:15:00,0.496
23/05/2016 10:30:00,0.494
23/05/2016 10:45:00,0.491
23/05/2016 11:00:00,0.49
23/05/2016 11:15:00,0.487
23/05/2016 11:30:00,0.485
23/05/2016 11:45:00,0.483
23/05/2016 12:00:00,0.482
23/05/2016 12:15:00,0.479
23/05/2016 12:30:00,0.477
23/05/2016 12:45:00,0.477
23/05/2016 13:00:00,0.474
23/05/2016 13:15:00,0.474
23/05/2016 13:30:00,0.472
23/05/2016 13:45:00,0.47
23/05/2016 14:00:00,0.469
23/05/2016 14:15:00,0.467
23/05/2016 14:30:00,0.465
23/05/2016 14:45:00,0.463
23/05/2016 15:00:00,0.462
23/05/2016 15:15:00,0.46
23/05/2016 15:30:00,0.458
23/05/2016 15:45:00,0.456
