Office,Dingwall
23/05/2016 16:00:00,0.454
23/05/2016 16:15:00,0.452
23/05/2016 16:30:00,0.451
23/05/2016 16:45:00,0.449
23/05/2016 17:00:00,0.448
23/05/2016 17:15:00,0.446
23/05/2016 17:30:00,0.445
23/05/2016 17:45:00,0.443
23/05/2016 18:00:00,0.442
23/05/2016 18:15:00,0.441
23/05/2016 18:30:00,0.439
23/05/2016 18:45:00,0.438
23/05/2016 19:00:00,0.436
23/05/2016 19:15:00,0.436
23/05/2016 19:30:00,0.434
23/05/2016 19:45:00,0.433
23/05/2016 20:00:00,0.432
23/05/2016 20:15:00,0.433
23/05/2016 20:30:00,0.432
23/05/2016 20:45:00,0.431
23/05/2016 21:00:00,0.429
23/05/2016 21:15:00,0.428
23/05/2016 21:30:00,0.427
23/05/2016 21:45:00,0.426
23/05/2016 22:00:00,0.425
23/05/2016 22:15:00,0.424
23/05/2016 22:30:00,0.423
23/05/2016 22:45:00,0.422
23/05/2016 23:00:00,0.421
23/05/2016 23:15:00,0.42
23/05/2016 23:30:00,0.418
23/05/2016 23:45:00,0.418
24/05/2016 00:00:00,0.416
24/05/2016 00:15:00,0.416
24/05/2016 00:30:00,0.414
24/05/2016 00:45:00,0.414
24/05/2016 01:00:00,0.413
24/05/2016 01:15:00,0.412
24/05/2016 01:30:00,0.411
24/05/2016 01:45:00,0.411
24/05/2016 02:00:00,0.41
24/05/2016 02:15:00,0.409
24/05/2016 02:30:00,0.408
24/05/2016 02:45:00,0.408
24/05/2016 03:00:00,0.407
24/05/2016 03:15:00,0.406
24/05/2016 03:30:00,0.406
24/05/2016 03:45:00,0.405
24/05/2016 04:00:00,0.404
24/05/2016 04:15:00,0.404
24/05/2016 04:30:00,0.403
24/05/2016 04:45:00,0.403
24/05/2016 05:00:00,0.402
24/05/2016 05:15:00,0.401
24/05/2016 05:30:00,0.401
24/05/2016 05:45:00,0.4
24/05/2016 06:00:00,0.4
24/05/2016 06:15:00,0.399
24/05/2016 06:30:00,0.398
24/05/2016 06:45:00,0.398
24/05/2016 07:00:00,0.397
24/05/2016 07:15:00,0.396
24/05/2016 07:30:00,0.396
24/05/2016 07:45:00,0.396
24/05/2016 08:00:00,0.395
24/05/2016 08:15:00,0.394
24/05/2016 08:30:00,0.394
24/05/2016 08:45:00,0.393
24/05/2016 09:00:00,0.393
24/05/2016 09:15:00,0.392
24/05/2016 09:30:00,0.391
24/05/2016 09:45:00,0.391
24/05/2016 10:00:00,0.39
24/05/2016 10:15:00,0.39
24/05/2016 10:30:00,0.39
24/05/2016 10:45:00,0.389
24/05/2016 11:00:00,0.389
24/05/2016 11:15:00,0.388
24/05/2016 11:30:00,0.388
24/05/2016 11:45:00,0.386
24/05/2016 12:00:00,0.386
24/05/2016 12:15:00,0.387
24/05/2016 12:30:00,0.385
24/05/2016 12:45:00,0.385
24/05/2016 13:00:00,0.386
24/05/2016 13:15:00,0.384
24/05/2016 13:30:00,0.384
24/05/2016 13:45:00,0.385
24/05/2016 14:00:00,0.384
24/05/2016 14:15:00,0.384
24/05/2016 14:30:00,0.382
24/05/2016 14:45:00,0.381
24/05/2016 15:00:00,0.38
24/05/2016 15:15:00,0.383
24/05/2016 15:30:00,0.38
24/05/2016 15:45:00,0.38
24/05/2016 16:00:00,0.379
24/05/2016 16:15:00,0.378
24/05/2016 16:30:00,0.377
24/05/2016 16:45:00,0.377
24/05/2016 17:00:00,0.376
24/05/2016 17:15:00,0.375
24/05/2016 17:30:00,0.376
24/05/2016 17:45:00,0.375
24/05/2016 18:00:00,0.373
24/05/2016 18:15:00,0.373
24/05/2016 18:30:00,0.372
24/05/2016 18:45:00,0.371
24/05/2016 19:00:00,0.371
24/05/2016 19:15:00,0.37
24/05/2016 19:30:00,0.368
24/05/2016 19:45:00,0.368
24/05/2016 20:00:00,0.368
24/05/2016 20:15:00,0.366
24/05/2016 20:30:00,0.366
24/05/2016 20:45:00,0.365
24/05/2016 21:00:00,0.364
24/05/2016 21:15:00,0.364
24/05/2016 21:30:00,0.364
24/05/2016 21:45:00,0.363
24/05/2016 22:00:00,0.362
24/05/2016 22:15:00,0.362
24/05/2016 22:30:00,0.361
24/05/2016 22:45:00,0.361
24/05/2016 23:00:00,0.361
24/05/2016 23:15:00,0.36
24/05/2016 23:30:00,0.36
24/05/2016 23:45:00,0.36
25/05/2016 00:00:00,0.359
25/05/2016 00:15:00,0.359
25/05/2016 00:30:00,0.358
25/05/2016 00:45:00,0.358
25/05/2016 01:00:00,0.358
25/05/2016 01:15:00,0.358
25/05/2016 01:30:00,0.357
25/05/2016 01:45:00,0.356
25/05/2016 02:00:00,0.356
25/05/2016 02:15:00,0.356
25/05/2016 02:30:00,0.355
25/05/2016 02:45:00,0.355
25/05/2016 03:00:00,0.355
25/05/2016 03:15:00,0.354
25/05/2016 03:30:00,0.354
25/05/2016 03:45:00,0.354
25/05/2016 04:00:00,0.353
25/05/2016 04:15:00,0.353
25/05/2016 04:30:00,0.353
25/05/2016 04:45:00,0.353
25/05/2016 05:00:00,0.352
25/05/2016 05:15:00,0.352
25/05/2016 05:30:00,0.352
25/05/2016 05:45:00,0.352
25/05/2016 06:00:00,0.351
25/05/2016 06:15:00,0.351
25/05/2016 06:30:00,0.351
25/05/2016 06:45:00,0.351
25/05/2016 07:00:00,0.35
25/05/2016 07:15:00,0.35
25/05/2016 07:30:00,0.35
25/05/2016 07:45:00,0.349
25/05/2016 08:00:00,0.349
25/05/2016 08:15:00,0.349
25/05/2016 08:30:00,0.348
25/05/2016 08:45:00,0.348
25/05/2016 09:00:00,0.348
25/05/2016 09:15:00,0.349
25/05/2016 09:30:00,0.348
25/05/2016 09:45:00,0.348
25/05/2016 10:00:00,0.347
25/05/2016 10:15:00,0.349
25/05/2016 10:30:00,0.346
25/05/2016 10:45:00,0.346
25/05/2016 11:00:00,0.347
25/05/2016 11:15:00,0.346
25/05/2016 11:30:00,0.346
25/05/2016 11:45:00,0.346
25/05/2016 12:00:00,0.346
25/05/2016 12:15:00,0.345
25/05/2016 12:30:00,0.346
25/05/2016 12:45:00,0.345
25/05/2016 13:00:00,0.344
25/05/2016 13:15:00,0.343
25/05/2016 13:30:00,0.344
25/05/2016 13:45:00,0.344
25/05/2016 14:00:00,0.342
25/05/2016 14:15:00,0.343
25/05/2016 14:30:00,0.342
25/05/2016 14:45:00,0.342
25/05/2016 15:00:00,0.342
25/05/2016 15:15:00,0.341
25/05/2016 15:30:00,0.341
25/05/2016 15:45:00,0.34
25/05/2016 16:00:00,0.34
25/05/2016 16:15:00,0.339
25/05/2016 16:30:00,0.34
25/05/2016 16:45:00,0.339
25/05/2016 17:00:00,0.341
25/05/2016 17:15:00,0.339
25/05/2016 17:30:00,0.338
25/05/2016 17:45:00,0.338
25/05/2016 18:00:00,0.338
25/05/2016 18:15:00,0.338
25/05/2016 18:30:00,0.337
25/05/2016 18:45:00,0.337
25/05/2016 19:00:00,0.337
25/05/2016 19:15:00,0.336
25/05/2016 19:30:00,0.336
25/05/2016 19:45:00,0.336
25/05/2016 20:00:00,0.335
25/05/2016 20:15:00,0.335
25/05/2016 20:30:00,0.335
25/05/2016 20:45:00,0.334
25/05/2016 21:00:00,0.334
25/05/2016 21:15:00,0.334
25/05/2016 21:30:00,0.334
25/05/2016 21:45:00,0.333
25/05/2016 22:00:00,0.333
25/05/2016 22:15:00,0.333
25/05/2016 22:30:00,0.332
25/05/2016 22:45:00,0.332
25/05/2016 23:00:00,0.332
25/05/2016 23:15:00,0.332
25/05/2016 23:30:00,0.332
25/05/2016 23:45:00,0.332
26/05/2016 00:00:00,0.332
26/05/2016 00:15:00,0.332
26/05/2016 00:30:00,0.332
26/05/2016 00:45:00,0.332
26/05/2016 01:00:00,0.331
26/05/2016 01:15:00,0.331
26/05/2016 01:30:00,0.331
26/05/2016 01:45:00,0.331
26/05/2016 02:00:00,0.331
26/05/2016 02:15:00,0.33
26/05/2016 02:30:00,0.33
26/05/2016 02:45:00,0.33
26/05/2016 03:00:00,0.33
26/05/2016 03:15:00,0.33
26/05/2016 03:30:00,0.33
26/05/2016 03:45:00,0.33
26/05/2016 04:00:00,0.33
26/05/2016 04:15:00,0.33
26/05/2016 04:30:00,0.33
26/05/2016 04:45:00,0.33
26/05/2016 05:00:00,0.329
26/05/2016 05:15:00,0.329
26/05/2016 05:30:00,0.329
26/05/2016 05:45:00,0.329
26/05/2016 06:00:00,0.329
26/05/2016 06:15:00,0.329
26/05/2016 06:30:00,0.329
26/05/2016 06:45:00,0.328
26/05/2016 07:00:00,0.329
26/05/2016 07:15:00,0.328
26/05/2016 07:30:00,0.328
26/05/2016 07:45:00,0.328
26/05/2016 08:00:00,0.328
26/05/2016 08:15:00,0.328
26/05/2016 08:30:00,0.328
26/05/2016 08:45:00,0.327
26/05/2016 09:00:00,0.327
26/05/2016 09:15:00,0.327
